,Exchange Ticker,"ROA Total Assets, Percent",Return On Equity - Actual,Total Debt,"Total Assets, Reported",Operating Income,TRBC Industry Group Name,TRBC Industry Name,Long Term Debt,Region of Headquarters,regularMarketPrice,preMarketPrice,logo_url
LBRDA,LBRDA,2.364781218,3.29,5111990000,21371124000,-243230000,Media & Publishing,Broadcasting,4988124000,Americas,,,
LCI,LCI,-39.93590039,,590683000,683737000,-247592000,Pharmaceuticals,Pharmaceuticals,590683000,Americas,,,
LCII,LCII,7.616161607,19.19,738249000,2298031000,222934000,Leisure Products,Recreational Products,720418000,Americas,,,
LEA,LEA,1.587369056,7.4,2314500000,13198600000,418800000,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts",2300300000,Americas,,,
LEG,LEG,5.151615989,,1900200000,4800000000,400500000,Household Goods,Home Furnishings,1849300000,Americas,,,
LEN,LEN,,22.829,6558681000,33207778000,,Homebuilding & Construction Supplies,Homebuilding,6558681000,Americas,,,
LEO,LEO,7.558891952,15.81,69923058.13,304454079.1,27816316.56,Hotels & Entertainment Services,Casinos & Gaming,59672691.74,Europe,,,
LEU,LEU,11.54744216,,114100000,486300000,51000000,Uranium,Uranium,108000000,Americas,,,
LEVI,LEVI,2.546355493,,303245709.7,770114616.8,36258136.85,Real Estate Operations,"Real Estate Rental, Development & Operations",163106176.2,Asia,,,
LFMD,LFMD,-733.6355989,,779130,13053660,-58734320,Diversified Retail,Department Stores,,Americas,,,
LGIH,LGIH,18.54961425,32.65,538398000,1826087000,364710000,Homebuilding & Construction Supplies,Homebuilding,538398000,Americas,,,
LGND,LGND,-0.208945821,10.36,448886000,1362285000,25845000,Biotechnology & Medical Research,Biotechnology & Medical Research,442293000,Americas,,,
LH,LH,6.042824785,13.96,2099826770,4080261761,220947690.1,Real Estate Operations,"Real Estate Rental, Development & Operations",1244478046,Asia,,,
LHX,LHX,2.889927752,11.49,6918000000,36960000000,1177000000,Aerospace & Defense,Aerospace & Defense,6908000000,Americas,,,
LII,LII,17.55912868,-409.08,980800000,2032500000,477900000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,941400000,Americas,,,
LILA,LILA,-5.362724787,-23.6,8357200000,15230000000,46600000,Telecommunications Services,Wireless Telecommunications Services,8183800000,Americas,,,
LIN,LIN,2.902065305,9.07,16154000000,88229000000,3322000000,Chemicals,Commodity Chemicals,12027000000,Europe,,,
LITE,LITE,11.60983022,26.6,1180500000,3551600000,527000000,Communications & Networking,Communications & Networking,789800000,Americas,,,
LLNW,LLNW,-18.24235333,,121782000,311454000,-49693000,Software & IT Services,IT Services & Consulting,121782000,Americas,,,
LLY,LLY,14.41749923,175.45,16595300000,46633100000,6058000000,Pharmaceuticals,Pharmaceuticals,16586600000,Americas,,,
LMT,LMT,14.02308679,,12169000000,50710000000,8644000000,Aerospace & Defense,Aerospace & Defense,11669000000,Americas,,,
LNG,LNG,1.407520825,82.93,30902000000,35697000000,2414000000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,30471000000,Americas,,,
LOW,LOW,13.53734079,389.85,21780000000,46735000000,8587000000,Specialty Retailers,Home Improvement Products & Services Retailers,20104000000,Americas,,,
LPI,LPI,-47.16276864,32.74,1179266000,1442610000,-853847000,Oil & Gas,Oil & Gas Exploration and Production,1179266000,Americas,,,
LPSN,LPSN,-14.16510109,-1.51,548096000,1006432000,-89451000,Software & IT Services,IT Services & Consulting,538432000,Americas,,,
LPX,LPX,25.29966845,43.33,348000000,2086000000,636000000,Paper & Forest Products,Forest & Wood Products,347000000,Americas,,,
LRCX,LRCX,25.67030612,70.7,5001682000,15892152000,4482023000,Semiconductors & Semiconductor Equipment,Semiconductor Equipment & Testing,4960935000,Americas,,,
LRN,LRN,5.339777255,9.66,368175000,1577297000,110456000,Miscellaneous Educational Service Providers,Miscellaneous Educational Service Providers,299271000,Americas,,,
LTHM,LTHM,-2.104208417,-1.41,236700000,936800000,-21200000,Chemicals,Commodity Chemicals,236700000,Americas,,,
LTRPA,LTRPA,-19.56423059,,608000000,4086000000,-932000000,Software & IT Services,Online Services,532000000,Americas,,,
LUMN,LUMN,-1.984919765,14.62,31837000000,59394000000,857000000,Telecommunications Services,Integrated Telecommunications Services,29143000000,Americas,,,
LUN,LUN,4.26363906,9.37,1295056136,5913761408,326636465.1,Pharmaceuticals,Pharmaceuticals,885857790,Europe,,,
LUV,LUV,-10.16483971,-37.55,10331000000,34588000000,-3816000000,Passenger Transportation Services,Airlines,9652000000,Americas,,,
LVS,LVS,-9.739580966,-39.609,14004000000,20807000000,-1688000000,Hotels & Entertainment Services,Casinos & Gaming,13929000000,Americas,,,
LW,LW,5.996595917,88.2,2737400000,4209400000,474800000,Food & Tobacco,Food Processing,2698800000,Americas,,,
LXU,LXU,-5.781236358,,497766000,1053302000,-15535000,Chemicals,Agricultural Chemicals,467389000,Americas,,,
LYB,LYB,4.340958109,23.53,15957000000,35403000000,1559000000,Chemicals,Commodity Chemicals,15286000000,Europe,,,
LYV,LYV,-16.95151356,-511.34,4908511000,10589303000,-1653192000,Hotels & Entertainment Services,Leisure & Recreation,4855096000,Americas,,,
MAN,MAN,0.25657611,8.25,1123900000,9328200000,177400000,Professional & Commercial Services,Employment Services,1103500000,Americas,,,
MAR,MAR,-1.073323686,10.41,10376000000,24701000000,84000000,Hotels & Entertainment Services,"Hotels, Motels & Cruise Lines",9057000000,Americas,,,
MARA,MARA,-6.532485575,,62500,313251240,-10197940,Financial Technology (Fintech) & Infrastructure,Blockchain & Cryptocurrency,62500,Americas,,,
MAS,MAS,15.95705294,-4120,2795000000,5777000000,1295000000,Homebuilding & Construction Supplies,Construction Supplies & Fixtures,2766000000,Americas,,,
MAT,MAT,2.120732412,34.85,2855633000,5534890000,380885000,Leisure Products,Toys & Children's Products,2854664000,Americas,,,
MATW,MATW,0.139254627,,763710000,2032078000,42034000,Media & Publishing,Advertising & Marketing,753583000,Americas,,,
MAXR,MAXR,-0.975103734,-8.96,2425000000,4483000000,-5000000,Communications & Networking,Communications & Networking,2414000000,Americas,,,
MC,MC,4.829952529,12.71,45776746458,133000000000.0,9736199316,Textiles & Apparel,Apparel & Accessories,17177576942,Europe,,,
MCD,MCD,9.447999553,-56.56,37440400000,52626800000,7324000000,Hotels & Entertainment Services,Restaurants & Bars,35196800000,Americas,,,
MCHN,MCHN,-16.41181123,,287814936.2,451319624.9,-74655971.08,Media & Publishing,Advertising & Marketing,273440289.2,Europe,,,
MCHP,MCHP,2.061059021,32.68,8904100000,16478800000,698500000,Semiconductors & Semiconductor Equipment,Semiconductors,7581200000,Americas,,,
MCK,MCK,-6.87301009,110,7148000000,65015000000,-5040000000,Food & Drug Retailing,Drug Retailers,6200000000,Americas,,,
MCLD,MCLD,-50.82600555,,30290298.51,60737478.4,-24764603.3,Software & IT Services,IT Services & Consulting,23164658.29,Americas,,,
MCO,MCO,15.67434065,161.77,6422000000,12409000000,2388000000,Professional & Commercial Services,Professional Information Services,6422000000,Americas,,,
MCS,MCS,-11.09420655,-23.64,313305000,1254178000,-178422000,Hotels & Entertainment Services,Leisure & Recreation,193036000,Americas,,,
MD,MD,-0.255676355,7.04,1744805000,3347948000,98132000,Healthcare Providers & Services,Healthcare Facilities & Services,1733687000,Americas,,,
MDB,MDB,-19.51300811,-149.31,996985000,1407495000,-209304000,Software & IT Services,Software,937729000,Americas,,,
MDC,MDC,10.2059674,18.84,1249781000,3864920000,467093000,Homebuilding & Construction Supplies,Homebuilding,1047391000,Americas,,,
MDLZ,MDLZ,3.263177782,13.59,20046000000,67810000000,3668000000,Food & Tobacco,Food Processing,17094000000,Americas,,,
MDRX,MDRX,-4.33157825,8.3,167587000,2917618000,-132455000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,167587000,Americas,,,
MEG,MEG,2.919680768,5.759,1805878712,7825253488,339034990,Real Estate Operations,"Real Estate Rental, Development & Operations",1355443939,Asia,,,
MELI,MELI,-0.012504396,-0.04,1409269000,6526332000,127692000,Software & IT Services,Online Services,844615000,Americas,,,
MERC,MERC,-0.821722657,-2.99,1191987000,2129126000,63729000,Paper & Forest Products,Paper Products,1145294000,Americas,,,
METC,METC,-2.154858202,-2.89,17450000,228623000,-19093000,Metals & Mining,Iron & Steel,12578000,Americas,,,
MFON,MFON,3.650589546,9.21,5811248137,10483344627,995189050,Telecommunications Services,Wireless Telecommunications Services,3695283914,Europe,,,
MG,MG,2.489199375,10.68,4102000000,28605000000,1006000000,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts",3973000000,Americas,,,
MGM,MGM,-3.751265609,-14.51,12591164000,36494934000,-642434000,Hotels & Entertainment Services,Casinos & Gaming,12376684000,Americas,,,
MGNI,MGNI,-8.010314224,,0,938960000,-54234000,Software & IT Services,Online Services,,Americas,,,
MGNT,MGNT,3.483830183,17.77,7096632132,12811928527,1198314731,Food & Drug Retailing,Food Retail & Distribution,2001557474,Europe,,,
MGPI,MGPI,11.7082528,,39871000,366575000,54241000,Beverages,Distillers & Wineries,38271000,Americas,,,
MHK,MHK,3.721721727,7.57,2734142000,14327751000,632403000,Household Goods,Home Furnishings,2318789000,Americas,,,
MHO,MHO,10.10285263,,871876000,2643045000,319261000,Homebuilding & Construction Supplies,Homebuilding,871876000,Americas,,,
MHPC,MHPC,-0.377836576,,31216740,42396750,1512720,Real Estate Operations,"Real Estate Rental, Development & Operations",31216740,Americas,,,
MIDD,MIDD,4.062749244,13.95,1729596000,5202474000,324431000,Household Goods,"Appliances, Tools & Housewares",1706652000,Americas,,,
MIN,MIN,24.18397909,40.327,946171899,4388501076,1200353905,Metals & Mining,Mining Support Services & Equipment,689965434.2,Oceania,,,
MINT,MINT,-7.365079424,-49.45,7687778830,12061468656,-821725917.8,Hotels & Entertainment Services,Restaurants & Bars,4324119034,Asia,,,
MITK,MITK,2.709702181,,120918000,419693000,13277000,Software & IT Services,Software,120918000,Americas,,,
MJD,,,,,,,,,,,,,
MKC,MKC,6.294372834,20.7,4904400000,12089700000,999500000,Food & Tobacco,Food Processing,3628300000,Americas,,,
ML,ML,1.974286888,4.89,10528822667,38638251099,1713483146,Automobiles & Auto Parts,Tires & Rubber Products,7452369321,Europe,,,
MLAB,MLAB,0.647942821,4.179,145675000,601475000,12358000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,145675000,Americas,,,
MLM,MLM,6.962978699,12.82,2650300000,10580800000,1005400000,Construction Materials,Construction Materials,2625800000,Americas,,,
MMLP,MMLP,-1.086145747,,516383000,579638000,41169000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,484597000,Americas,,,
MMM,MMM,,,17363000000,47072000000,7369000000,Consumer Goods Conglomerates,Consumer Goods Conglomerates,16056000000,Americas,,,
MMP,MMP,9.822412905,32.56,4978691000,8196982000,1021102000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,4978691000,Americas,,,
MMYT,MMYT,-4.685353067,-6.4,203955000,1309010000,-67683000,Hotels & Entertainment Services,Leisure & Recreation,188000000,Asia,,,
MNDT,MNDT,-6.756537418,7.69,960896000,3245882000,-155171000,Software & IT Services,Software,960896000,Americas,,,
MNKD,MNKD,-56.57999437,,122235000,108608000,-48177000,Biotechnology & Medical Research,Biotechnology & Medical Research,118174000,Americas,,,
MO,MO,9.261002224,177.479,29471000000,47414000000,8133000000,Food & Tobacco,Tobacco,27971000000,Americas,,,
MODN,MODN,-8.694012396,15.949,124301000,363790000,-14414000,Software & IT Services,Software,124301000,Americas,,,
MOGO,MOGO,-10.52174389,,71790259.23,82064414.77,2327572.663,Banking Services,Consumer Lending,68384131.97,Americas,,,
MOH,MOH,-3.266318799,-10.4,1842082316,4164362482,-69251343.43,Oil & Gas,Oil & Gas Refining and Marketing,1269929165,Europe,,,
MOMO,MOMO,9.377310029,20.29,714017777.8,3558705900,386350191.6,Software & IT Services,Software,714017777.8,Asia,,,
MOR,MOR,9.080959638,19.27,388620310.2,2026762360,32558866.63,Biotechnology & Medical Research,Biotechnology & Medical Research,333121604.8,Europe,,,
MOS,MOS,3.764809419,3.46,4578100000,19789800000,412900000,Chemicals,Agricultural Chemicals,3779200000,Americas,,,
MPC,MPC,-12.17326932,-7.98,31584000000,85158000000,-12238000000,Oil & Gas,Oil & Gas Refining and Marketing,28154000000,Americas,,,
MPLX,MPLX,-1.788038103,-5.78,21109000000,36414000000,211000000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,20334000000,Americas,,,
MRC,MRC,-2.197684174,,4927726630,8682394344,-251205027.5,Real Estate Operations,"Real Estate Rental, Development & Operations",4035812255,Americas,,,
MRK,MRK,8.048413217,58.89,31791000000,91588000000,7905000000,Pharmaceuticals,Pharmaceuticals,25360000000,Americas,,,
MRO,MRO,-7.596659773,-8.09,5404000000,17956000000,-1238000000,Oil & Gas,Oil & Gas Exploration and Production,5404000000,Americas,,,
MRVL,MRVL,-2.532614728,7.33,1192811000,10764924000,-258389000,Semiconductors & Semiconductor Equipment,Semiconductors,993170000,Americas,,,
MSBI,MSBI,-0.207999368,,365442426.9,469149718.1,17441990.84,Diversified Retail,Department Stores,12104525.49,Asia,,,
MSFT,MSFT,19.295218,47.1,70687000000,334000000000.0,69903000000,Software & IT Services,Software,50074000000,Americas,,,
MSI,MSI,8.85770053,-212.85,5175000000,10876000000,1323000000,Communications & Networking,Communications & Networking,5158000000,Americas,,,
MSN,MSN,1.309663457,6.76,2687953576,5016756047,51832423.06,Food & Tobacco,Food Processing,1710708409,Asia,,,
MSTR,MSTR,-0.631689505,,486366000,1465612000,-13625000,Software & IT Services,Software,486366000,Americas,,,
MT,MT,-0.680160038,-2.37,12322000000,82052000000,2110000000,Metals & Mining,Iron & Steel,9183000000,Europe,,,
MTBC,MTBC,-9.066757228,,442000,137999000,-8271000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,41000,Americas,,,
MTDR,MTDR,-14.272609,4.09,1815875000,3687280000,-521499000,Oil & Gas,Oil & Gas Exploration and Production,1814998000,Americas,,,
MTH,MTH,11.66172609,19.6,1020085000,3864398000,533566000,Homebuilding & Construction Supplies,Homebuilding,1020085000,Americas,,,
MTN,MTN,2.165356797,8.78,2850292000,6251056000,261016000,Hotels & Entertainment Services,Leisure & Recreation,2736175000,Americas,,,
MTOR,MTOR,7.214015802,37.64,1027000000,2938000000,218000000,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts",999000000,Americas,,,
MTSI,MTSI,3.330127999,39.35,529812000,1134145000,76602000,Semiconductors & Semiconductor Equipment,Semiconductors,492097000,Americas,,,
MTW,MTW,-1.185893456,-1.91,310900000,1603500000,38600000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,300400000,Americas,,,
MTX,MTX,3.593799431,9.53,934200000,3209400000,187900000,Chemicals,Specialty Chemicals,933200000,Americas,,,
MTZ,MTZ,6.312050391,19.87,1302742000,5227849000,439055000,Construction & Engineering,Construction & Engineering,1001732000,Americas,,,
MUR,MUR,-11.23840813,-3.77,2988067000,10620852000,-1362309000,Oil & Gas,Oil & Gas Exploration and Production,2988067000,Americas,,,
MUX,MUX,1.810911431,14.43,456765999,1620908647,50317537.86,Investment Banking & Investment Services,Investment Management & Fund Operators,141426477.8,Europe,,,
MWA,MWA,4.833504978,13.4,446900000,1518000000,115000000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,444700000,Americas,,,
MX,MX,-2.301126281,-9.92,3085606000,5696051000,-52450000,Chemicals,Commodity Chemicals,2323601000,Americas,,,
MYD,MYD,5.498719373,,293954714.2,970300378.6,66887164.14,Chemicals,Commodity Chemicals,236119430.9,Europe,,,
NATH,NATH,10.34606779,,146831000,108809000,25515000,Hotels & Entertainment Services,Restaurants & Bars,146831000,Americas,,,
NBIX,NBIX,26.7895315,14.71,317900000,1734700000,144600000,Biotechnology & Medical Research,Biotechnology & Medical Research,317900000,Americas,,,
NBR,NBR,-12.44043788,-40.71,2968701000,5503428000,-476243000,Oil & Gas Related Equipment and Services,Oil & Gas Drilling,2968701000,Americas,,,
NCR,NCR,-0.068961554,19.88,3316000000,8414000000,194000000,Software & IT Services,IT Services & Consulting,3270000000,Americas,,,
NEE,NEE,2.001833928,,48091000000,128000000000.0,3616000000,Electric Utilities & IPPs,Electric Utilities,41944000000,Americas,,,
NEM,NEM,5.996828246,9.63,6702000000,41369000000,2636000000,Metals & Mining,Gold,5480000000,Americas,,,
NEO,NEO,0.491448826,2.86,171928000,988331000,-15392000,Healthcare Providers & Services,Healthcare Facilities & Services,168120000,Americas,,,
NEP,NEP,,,5327000000,18948000000,234000000,Electric Utilities & IPPs,Electric Utilities,5294000000,Americas,,,
NEU,NEU,14.16954721,,611067000,1933875000,311802000,Chemicals,Commodity Chemicals,598848000,Americas,,,
NEWR,NEWR,-14.36855042,-5.05,449380000,1398619000,-171400000,Software & IT Services,Software,449380000,Americas,,,
NEX,NEX,-7.435054221,-6.71,2017993628,5988487359,-532425448.1,Passenger Transportation Services,"Passenger Transportation, Ground & Sea",1467519860,Europe,,,
NEXA,NEXA,-12.39258199,-37.02,2013351000,5064226000,-398483000,Metals & Mining,Specialty Mining & Metals,1878312000,Europe,,,
NFG,NFG,5.040236289,20.92,2787187000,7464825000,624224000,Natural Gas Utilities,Natural Gas Utilities,2628687000,Americas,,,
NFLX,NFLX,12.20110095,38.02,15392895000,44584663000,6194509000,Software & IT Services,Online Services,14693072000,Americas,,,
NGD,NGD,-3.59751395,2.19,518300000,2250100000,47800000,Metals & Mining,Gold,489200000,Americas,,,
NGL,NGL,-10.24287412,-57.6,3321213000,5947341000,-413017000,Oil & Gas,Oil & Gas Refining and Marketing,3319030000,Americas,,,
NGVT,NGVT,8.105089138,34.39,1293400000,2334500000,234700000,Chemicals,Commodity Chemicals,1165000000,Americas,,,
NH,NH,-37.89363184,31.96,244014000,200288000,-26267000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,143757000,Americas,,,
NHC,NHC,2.982240168,9.669,439094928.2,2038590397,100902574.8,Coal,Coal,364477182.3,Oceania,,,
NI,NI,-0.063534249,8.65,9746100000,22040500000,307300000,Multiline Utilities,Multiline Utilities,9048100000,Americas,,,
NICE,NICE,5.007024257,14.93,681218000,4232917000,242047000,Software & IT Services,Software,421337000,Asia,,,
NIO,NIO,-15.32441124,-53.77,1219491648,8374241992,-706152490.4,Automobiles & Auto Parts,Auto & Truck Manufacturers,910081072.8,Asia,,,
NKE,NKE,16.58029588,55.01,9415000000,37740000000,6887000000,Textiles & Apparel,Footwear,9413000000,Americas,,,
NLOK,NLOK,9.875141884,-353.47,3601000000,6361000000,907000000,Software & IT Services,Software,3288000000,Americas,,,
NM,NM,-9.168534192,,1584429000,1971325000,-48958000,Transport Infrastructure,Marine Port Services,1210238000,Americas,,,
NMRK,NMRK,3.042211989,,1779257000,3982450000,183998000,Real Estate Operations,Real Estate Services,680385000,Americas,,,
NOA,NOA,6.031944496,22.78,335684210.5,659016496.5,54159465.83,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,268300864.1,Americas,,,
NOC,NOC,7.454592207,40.86,15003000000,44469000000,4065000000,Aerospace & Defense,Aerospace & Defense,14261000000,Americas,,,
NOG,NOG,-65.24020775,,944843000,872089000,-845130000,Oil & Gas,Oil & Gas Exploration and Production,879843000,Americas,,,
NOTV,NOTV,5.682633153,,165677000,321856000,-5618000,Biotechnology & Medical Research,Biotechnology & Medical Research,154209000,Americas,,,
NOV,NOV,-24.47352457,-1.81,2098000000,9929000000,-2425000000,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,1834000000,Americas,,,
NOVN,NOVN,6.445739112,23.48,37855000000,132000000000.0,10152000000,Pharmaceuticals,Pharmaceuticals,26259000000,Europe,,,
NOW,NOW,1.608184625,37.3,1640153000,8715057000,152249000,Software & IT Services,Software,1640153000,Americas,,,
NPO,NPO,-1.36936412,,491300000,2083600000,21300000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,487500000,Americas,,,
NRC,NRC,-1.062887511,-2.64,205994474.2,683966938.3,-1165786.498,Construction & Engineering,Construction & Engineering,121358374.4,Europe,,,
NRG,NRG,3.718149674,30.559,8692000000,14902000000,1078000000,Electric Utilities & IPPs,Electric Utilities,8691000000,Americas,,,
NRP,NRP,-8.449016428,,471499000,921877000,-43851000,Coal,Coal,432444000,Americas,,,
NS,NS,-3.315551683,,3597335000,5817018000,67356000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,3539258000,Americas,,,
NSIT,NSIT,4.067423961,17.54,438686000,4310732000,271575000,"Computers, Phones & Household Electronics",Computer Hardware,436419000,Americas,,,
NSLPQ,NSLPQ,-13.3517174,,107043000,375546000,-50030000,Oil & Gas,Oil & Gas Exploration and Production,95218000,Americas,,,
NSTG,NSTG,-27.38432413,-53.549,172703000,544195000,-95190000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",172703000,Americas,,,
NTAP,NTAP,8.648264424,197.84,2632000000,9360000000,1017000000,"Computers, Phones & Household Electronics",Computer Hardware,2632000000,Americas,,,
NTNX,NTNX,-51.12451845,189.32,1063993000,2277496000,-660782000,Software & IT Services,IT Services & Consulting,1055694000,Americas,,,
NTR,NTR,0.976689258,4.54,11360000000,47192000000,883000000,Chemicals,Agricultural Chemicals,10047000000,Americas,,,
NTRA,NTRA,-30.33293306,-60.07,252547000,932153000,-222125000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",202493000,Americas,,,
NUAN,NUAN,-0.497766113,,867924000,3386653000,82719000,Software & IT Services,Software,494925000,Americas,,,
NUE,NUE,4.346382616,9.48,5340580000,20125394000,999269000,Metals & Mining,Iron & Steel,5192336000,Americas,,,
NUSA,NUSA,-8.275285577,,109471205.1,356769407.5,-14956359.19,Real Estate Operations,"Real Estate Rental, Development & Operations",30135419.44,Asia,,,
NUVA,NUVA,-1.622978648,6.95,1418038000,2693082000,38303000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",770923000,Americas,,,
NUWE,NUWE,-123.6511283,,78000,20012000,-17028000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,,Americas,,,
NVAX,NVAX,-47.65300472,-189.6,467980000,1582479000,-416719000,Biotechnology & Medical Research,Biotechnology & Medical Research,322035000,Americas,,,
NVCR,NVCR,1.115166142,5.71,429945000,1051983000,30401000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",429905000,Europe,,,
NVDA,NVDA,18.7914805,77.83,6963000000,28791000000,4532000000,Semiconductors & Semiconductor Equipment,Semiconductors,5964000000,Americas,,,
NVG,NVG,4.278765863,10.64,1264645457,3118493845,171500525.2,Paper & Forest Products,Paper Products,843769455.3,Europe,,,
NVMI,NVMI,9.071328282,17.399,178808000,655786000,55570000,Semiconductors & Semiconductor Equipment,Semiconductors,178808000,Asia,,,
NVR,NVR,18.8015466,33.11,1517395000,5777141000,1118905000,Homebuilding & Construction Supplies,Homebuilding,1517395000,Americas,,,
NVRO,NVRO,-13.19462811,-27.47,310547000,789428000,-63252000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",141771000,Americas,,,
NVTA,NVTA,-28.59248363,-31.83,392991000,3430485000,-652172000,Biotechnology & Medical Research,Biotechnology & Medical Research,388173000,Americas,,,
NWE,NWE,2.488828812,7.9,2432700000,6389449000,236204000,Electric Utilities & IPPs,Electric Utilities,2315261000,Americas,,,
NWL,NWL,-5.075472942,17.2,5607000000,14700000000,-654000000,Household Goods,"Appliances, Tools & Housewares",5136000000,Americas,,,
NWSA,NWSA,2.507089456,5.03,2313000000,16771000000,450000000,Media & Publishing,Consumer Publishing,2285000000,Americas,,,
OAS,OAS,-78.07951511,,713530000,2159037000,-4002285000,Oil & Gas,Oil & Gas Exploration and Production,710000000,Americas,,,
OGE,OGE,-1.597748251,10.7,3589400000,10718800000,522200000,Electric Utilities & IPPs,Electric Utilities,3494400000,Americas,,,
OGS,OGS,3.346882495,9,2000653000,6028712000,303516000,Natural Gas Utilities,Natural Gas Utilities,1582428000,Americas,,,
OII,OII,-20.95190541,-3.26,805251000,2045842000,-446079000,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,805251000,Americas,,,
OIL,OIL,7.406986575,16.97,2696093632,7549378564,454616678.3,Oil & Gas,Oil & Gas Exploration and Production,2065363633,Asia,,,
OIS,OIS,-33.66400162,-6.52,183537000,1152260000,-523619000,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,165759000,Americas,,,
OKE,OKE,2.73021633,17.96,14260367000,23078754000,1345927000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,14228421000,Americas,,,
OKTA,OKTA,-10.13788609,2.9,1766071000,3298797000,-206422000,Software & IT Services,IT Services & Consulting,857387000,Americas,,,
OLN,OLN,-11.1107929,-36.07,3863800000,8270900000,-746700000,Chemicals,Commodity Chemicals,3834500000,Americas,,,
OMAB,OMAB,6.190719827,10.75,228319712.1,915483871,86632177.55,Transport Infrastructure,Airport Operators & Services,75330179.66,Americas,,,
OMC,OMC,3.775817279,36.78,5935300000,27647200000,1591100000,Media & Publishing,Advertising & Marketing,5807300000,Americas,,,
OMCL,OMCL,2.100535214,,467201000,1824504000,35526000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,467201000,Americas,,,
OMER,OMER,-86.82781413,120.17,238068000,181042000,-123975000,Pharmaceuticals,Pharmaceuticals,236288000,Americas,,,
OMI,OMI,2.524072097,24.47,986018000,3335639000,204118000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",975894000,Americas,,,
OMP,OMP,6.068834363,,450570000,1030693000,78550000,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,450000000,Americas,,,
OMV,OMV,3.297414274,9.41,14577430386,60174645823,1237176356,Oil & Gas,Oil & Gas Refining and Marketing,11356863703,Europe,,,
ON,ON,2.76596367,10.29,3491300000,8668000000,348700000,Semiconductors & Semiconductor Equipment,Semiconductors,2959700000,Americas,,,
ONE,ONE,8.352746959,,92877565.64,434964960.9,45162425.64,Software & IT Services,IT Services & Consulting,28166443.45,Asia,,,
OP,OP,-2.089161359,,130958757.4,457905244.2,-3140672.932,Real Estate Operations,"Real Estate Rental, Development & Operations",37018551.88,Europe,,,
OPCH,OPCH,-0.308421676,-0.84,1124353000,2647439000,122255000,Healthcare Providers & Services,Healthcare Facilities & Services,1115103000,Americas,,,
OPK,OPK,1.299197986,,255787000,2473063000,57714000,Pharmaceuticals,Pharmaceuticals,225826000,Americas,,,
OPT,OPT,-46.41740912,,86338370,77379770,-7399360,Software & IT Services,IT Services & Consulting,86338370,Americas,,,
OPUS,OPUS,-1.414192337,,448992431.8,1887263794,-3587448.192,Consumer Goods Conglomerates,Consumer Goods Conglomerates,372507291.8,Europe,,,
OR,OR,8.160225678,14.03,3110039082,53257083537,5495847582,Personal & Household Products & Services,Personal Products,10381045.43,Europe,,,
ORA,ORA,4.71385809,16.37,55884220811,132000000000.0,6742794333,Telecommunications Services,Integrated Telecommunications Services,36747679531,Europe,,,
ORCL,ORCL,11.15090551,151.32,84245000000,131000000000.0,15213000000,Software & IT Services,Software,75995000000,Americas,,,
ORI,ORI,8.405812073,25.32,553185148.8,1121623401,99338361.19,Real Estate Operations,"Real Estate Rental, Development & Operations",232705525,Asia,,,
ORLY,ORLY,15.70599219,651.9,4123217000,11596642000,2419336000,Specialty Retailers,"Auto Vehicles, Parts & Service Retailers",4123217000,Americas,,,
OSIS,OSIS,5.582477794,16.15,277267000,1384367000,115371000,Electronic Equipment & Parts,Electronic Equipment & Parts,276421000,Americas,,,
